count,date,title,description,org_link,link
541,2024-01-28 18:01:00,"패션은 Y2K, 음악은 X세대…세대 통합 리메이크 대세[허지영의 케잇슈]",◇'이 바보야 진짜 아니야'의 변신...풋풋한 '응급실'이라니 = 샘플링 곡으로 가장 인기를 끌고 있는 아티스트는 <b>신인</b> 보이<b>그룹</b> 라이즈다. 라이즈는 지난 5일 신곡 'Love 119'을 발표했다. 이 곡은 밴드 이지(izi)가 지난 2005년... ,https://www.sedaily.com/NewsView/2D49DDF02K,https://n.news.naver.com/mnews/article/011/0004292645?sid=106
542,2024-01-28 15:10:00,"싸이커스, 위풍당당 유럽 투어 포문",<b>신인그룹</b> 싸이커스가 유럽투어 막을 올린다. 싸이커스는 28일(현지시간) 영국 런던 O2 셰퍼즈 부시 엠파이어에서 ‘‘트리키 하우스 : 퍼스트 인카운터’ 인 유럽’의 포문을 연다. 싸이커스는 ‘‘트리키 하우스... ,https://isplus.com/article/view/isp202401280072,https://n.news.naver.com/mnews/article/241/0003326949?sid=106
543,2024-01-28 13:06:00,"싸이커스, 오늘 유럽투어 시작…런던서 포문 열어",<b>신인그룹</b> 싸이커스(xikers)의 유럽투어가 막을 올린다.싸이커스는 28일(현지시간) 영국 런던 'O2 셰퍼즈 부시 엠파이어'에서 ''트리키 하우스 : 퍼스트 인카운터' 인 유럽'의 포문을 연다. 싸이커스는 ''트리키 하우스... ,https://www.asiatoday.co.kr/view.php?key=20240128010016483,https://www.asiatoday.co.kr/view.php?key=20240128010016483
544,2024-01-28 12:23:00,"싸이커스, ‘5세대 최초’ 북미→유럽투어··· 런던서 포문",<b>신인그룹</b> 싸이커스(xikers)의 유럽투어가 막을 올린다. 싸이커스는 28일(현지시간) 영국 런던 O2 셰퍼즈 부시 엠파이어에서 ‘트리키 하우스 : 퍼스트 인카운터(TRICKY HOUSE : FIRST ENCOUNTER) 인 유럽’ 의 포문을 연다.... ,http://sports.khan.co.kr/news/sk_index.html?art_id=202401281222003&sec_id=540301&pt=nv,https://n.news.naver.com/mnews/article/144/0000940387?sid=106
545,2024-01-28 10:59:00,싸이커스 유럽투어 개막‥28일 英 런던서 스타트,<b>신인그룹</b> 싸이커스(xikers)의 유럽투어가 막을 올린다. 싸이커스는 28일(현지시간) 영국 런던 O2 셰퍼즈 부시 엠파이어(O2 SHEPHERD'S BUSH EMPIRE)에서 '트리키 하우스 : 퍼스트 인카운터 인 유럽(TRICKY HOUSE : FIRST ENCOUNTER IN... ,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12162811,https://n.news.naver.com/mnews/article/437/0000377239?sid=106
546,2024-01-28 10:25:00,"'이모셔널 팝'·'보이후드 팝'…SM 라이즈·하이브 투어스, 대중성 '외연 확장...",<b>신인 그룹</b>이 특정 멤버를 내세우거나 화려한 프로모션에 힘을 싣기보다 음악 자체로 승부를 보려고 한 전환점은 신드롬 걸<b>그룹</b> '뉴진스'다. 청량한 '어텐션'을 필두로 '하이프 보이' '쿠키' 등 데뷔 때부터 트리플... ,http://www.newsis.com/view/?id=NISX20240125_0002604120&cID=10601&pID=10600,https://n.news.naver.com/mnews/article/003/0012343078?sid=106
547,2024-01-28 09:42:00,"싸이커스, 오늘(28일) 英 런던서 유럽투어 포문…글로벌 슈퍼루키 입지 굳힌다",<b>신인그룹</b> 싸이커스(xikers)의 유럽투어가 막을 올린다. 싸이커스는 28일(현지시간) 영국 런던 ‘O2 셰퍼즈 부시 엠파이어(O2 SHEPHERD'S BUSH EMPIRE)’에서 ‘‘트리키 하우스 : 퍼스트 인카운터’ 인 유럽(TRICKY HOUSE : FIRST... ,https://www.sportsworldi.com/newsView/20240128502893,https://n.news.naver.com/mnews/article/396/0000666141?sid=106
548,2024-01-28 09:22:00,"[이번주 관심주] JYP·YG, 자사주 매입으로 '주가방어'...하락세 극복할까?",이유로 데뷔에서 빠지면서 아쉬움을 남겼지만 이내 복귀 소식을 알렸다. 최근 엔터주의 부진한 주가 흐름에 양사 총괄의 통 큰 자사주 매입과 <b>신인 그룹</b> 활동 등으로 주가 반등세를 보일 수 있을지 기대를 모으고 있다.,http://www.opinionnews.co.kr/news/articleView.html?idxno=93250,http://www.opinionnews.co.kr/news/articleView.html?idxno=93250
549,2024-01-28 08:21:00,"싸이커스, 英 런던서 유럽투어 스타트..7개국 공연","이는 데뷔한 지 1년밖에 안된 <b>신인 그룹</b>으로서는 이례적인 행보이기에, 전 세계 K팝 팬들의 뜨거운 관심을 입증하는 것은 물론 앞으로의 글로벌 시장에서의 티켓 파워도 기대케한다는 평이다. 이렇듯 글로벌... ",http://www.osen.co.kr/article/G1112264233,https://n.news.naver.com/mnews/article/109/0005006875?sid=106
550,2024-01-27 11:28:00,#우주소녀 설아 홀로서기 #세븐틴 동생 <b>그룹</b> 투어스 데뷔 #핫걸 그 자체 이다...,"투어스는 플레디스 엔터테인먼트에서 선보이는 9년 만의 <b>신인</b> 보이 <b>그룹</b>이자, 하이브 레이블즈에서 내세우는 2024년 데뷔 첫 주자다. 팀명은 ‘TWENTY FOUR SEVEN WITH US’의 줄임말로, 하루를 뜻하는 숫자 24와 일주일을... ",https://www.dailian.co.kr/news/view/1321805/?sc=Naver,https://n.news.naver.com/mnews/article/119/0002793779?sid=106
